Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,5,-,kmppd,1,ind,5000,3,5,00:00:07.24,331.078125,2021-10-02 03:57:50.492311
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,2,ind,5000,3,5,00:29:23.33,314.515625,2021-10-02 04:27:13.823253
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,3,ind,5000,3,5,00:33:49.13,315.859375,2021-10-02 05:01:04.763541
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,4,ind,5000,3,5,00:25:34.56,317.20703125,2021-10-02 05:26:43.306060
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,5,ind,5000,3,5,00:20:23.28,318.75,2021-10-02 05:47:09.286562
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,5,-,kmppd,2,ind,5000,3,5,00:00:06.85,432.93359375,2021-10-02 05:47:22.294368
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,1,ind,5000,3,5,00:19:09.89,380.62109375,2021-10-02 06:06:32.278174
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,3,ind,5000,3,5,00:19:57.77,380.01171875,2021-10-02 06:26:31.874644
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,4,ind,5000,3,5,00:34:33.81,376.9609375,2021-10-02 07:01:07.992631
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,5,ind,5000,3,5,00:25:24.13,376.953125,2021-10-02 07:26:37.114304
Strategic Approach (KMPPD) - Global Processing of Site 3
Strategic Approach (KMPPD) - Get Local Top,5,-,kmppd,3,ind,5000,3,5,00:00:08.66,488.61328125,2021-10-02 07:26:56.980969
Strategic Approach (KMPPD) - Global Processing,5,-,kmppd,1,ind,5000,3,5,00:27:49.14,395.640625,2021-10-02 07:54:46.262714
