Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,1,ind,5000,3,3,00:00:13.44,683.0625,2021-10-09 07:40:00.985701
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,5000,3,3,01:31:59.33,659.3828125,2021-10-09 09:12:00.311320
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,5000,3,3,01:22:33.29,662.94140625,2021-10-09 10:34:44.974026
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,5000,3,3,01:26:53.39,659.12890625,2021-10-09 12:01:49.599439
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,2,ind,5000,3,3,00:00:20.28,1073.359375,2021-10-09 12:02:33.168557
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,5000,3,3,01:23:15.22,885.27734375,2021-10-09 13:25:48.979345
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,5000,3,3,01:21:20.95,878.0625,2021-10-09 14:47:21.248971
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,5000,3,3,01:25:53.35,877.87109375,2021-10-09 16:13:26.265515
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,3,ind,5000,3,3,00:00:21.12,1225.3828125,2021-10-09 16:14:10.020221
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,5000,3,3,01:18:54.44,900.3046875,2021-10-09 17:33:05.065439
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,5000,3,3,01:32:12.16,891.1796875,2021-10-09 19:05:28.733135
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,5000,3,3,01:20:02.53,890.890625,2021-10-09 20:25:43.019737
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 4
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,4,ind,5000,3,3,00:00:20.56,1224.8828125,2021-10-09 20:26:27.366769
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,5000,3,3,01:17:18.67,909.31640625,2021-10-09 21:43:46.670599
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,5000,3,3,01:21:15.86,901.1953125,2021-10-09 23:05:12.976340
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,5000,3,3,00:57:51.11,900.1015625,2021-10-10 00:03:14.333626
Strategic Approach (Optimized-KMPPD) - End Global Processing
