Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,1,ind,5000,3,5,00:00:12.64,686.1640625,2021-10-05 01:24:13.498043
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,2,ind,5000,3,5,00:32:40.90,655.84375,2021-10-05 01:56:54.400955
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,3,ind,5000,3,5,00:26:11.14,653.0234375,2021-10-05 02:23:16.180436
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,4,ind,5000,3,5,00:23:17.28,652.95703125,2021-10-05 02:46:44.324034
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,5,ind,5000,3,5,00:20:22.71,653.05078125,2021-10-05 03:07:17.918514
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,6,ind,5000,3,5,00:17:29.78,653.15625,2021-10-05 03:24:59.061993
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,2,ind,5000,3,5,00:00:18.13,1080.890625,2021-10-05 03:25:39.403008
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,1,ind,5000,3,5,00:31:12.24,900.6953125,2021-10-05 03:56:52.142329
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,3,ind,5000,3,5,00:25:17.87,893.26953125,2021-10-05 04:22:20.890231
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,4,ind,5000,3,5,00:22:16.95,893.01953125,2021-10-05 04:44:48.950661
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,5,ind,5000,3,5,00:20:17.01,892.51953125,2021-10-05 05:05:16.973551
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,6,ind,5000,3,5,00:17:44.28,892.51953125,2021-10-05 05:23:12.461923
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,3,ind,5000,3,5,00:00:20.09,1242.82421875,2021-10-05 05:23:54.915252
