Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,ind,5000,3,7,00:00:02.84,84.05078125,2021-10-06 18:59:40.747428
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,ind,5000,3,7,01:02:16.38,946.36328125,2021-10-06 20:01:57.129933
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,ind,5000,3,7,00:00:02.84,206.2890625,2021-10-06 20:02:37.973050
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,2,ind,5000,3,7,01:02:36.84,946.078125,2021-10-06 21:05:14.814424
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,3,ind,5000,3,7,00:00:02.72,222.66015625,2021-10-06 21:05:54.301492
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,3,ind,5000,3,7,01:01:52.73,943.83203125,2021-10-06 22:07:47.029793
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,4,ind,5000,3,7,00:00:02.82,226.328125,2021-10-06 22:08:27.775508
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,4,ind,5000,3,7,01:03:00.43,941.05859375,2021-10-06 23:11:28.205858
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,5,ind,5000,3,7,00:00:02.80,225.2890625,2021-10-06 23:12:08.386704
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,5,ind,5000,3,7,01:02:46.47,945.91796875,2021-10-07 00:14:54.854510
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,6,ind,5000,3,7,00:00:02.83,243.00390625,2021-10-07 00:15:35.325874
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,6,ind,5000,3,7,01:02:27.80,937.69140625,2021-10-07 01:18:03.127341
Strategic Approach (Optimized-KMPPD) - End Local Processing
