Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Local Processing
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,1,ant,5000,3,6,00:00:04.03,84.60546875,2021-10-06 00:59:00.582381
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,1,ant,5000,3,6,01:19:57.00,435.5390625,2021-10-06 02:18:57.585590
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,2,ant,5000,3,6,00:00:03.87,130.59375,2021-10-06 02:19:17.202010
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,2,ant,5000,3,6,01:21:21.86,436.0546875,2021-10-06 03:40:39.058138
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,3,ant,5000,3,6,00:00:03.97,127.76953125,2021-10-06 03:40:58.240933
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,3,ant,5000,3,6,01:21:41.78,436.6015625,2021-10-06 05:02:40.018386
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,4,ant,5000,3,6,00:00:04.06,125.828125,2021-10-06 05:02:59.300317
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,4,ant,5000,3,6,01:21:38.42,438.33984375,2021-10-06 06:24:37.720351
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,5,ant,5000,3,6,00:00:03.96,126.73046875,2021-10-06 06:24:56.813915
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,5,ant,5000,3,6,01:17:51.36,435.453125,2021-10-06 07:42:48.171878
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,6,ant,5000,3,6,00:00:04.09,155.3671875,2021-10-06 07:43:07.640884
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,6,ant,5000,3,6,01:23:27.60,434.6015625,2021-10-06 09:06:35.242140
Strategic Approach (KMPPD) - End Local Processing
