Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,1,fc,5000,3,5,00:00:02.57,154.51171875,2021-10-04 04:05:17.768145
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,2,fc,5000,3,5,00:47:08.65,157.26171875,2021-10-04 04:52:26.421572
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,3,fc,5000,3,5,01:02:43.18,158.2734375,2021-10-04 05:55:12.533514
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,4,fc,5000,3,5,00:34:31.13,158.2734375,2021-10-04 06:29:46.636291
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,5,fc,5000,3,5,00:45:33.32,158.53125,2021-10-04 07:15:21.574732
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,6,fc,5000,3,5,00:47:01.08,158.53125,2021-10-04 08:02:25.565465
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,2,fc,5000,3,5,00:00:03.13,279.27734375,2021-10-04 08:02:34.464377
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,1,fc,5000,3,5,00:52:29.35,274.77734375,2021-10-04 08:55:03.902866
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,3,fc,5000,3,5,00:51:25.92,274.64453125,2021-10-04 09:46:31.641978
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,4,fc,5000,3,5,00:25:35.08,274.39453125,2021-10-04 10:12:08.505142
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,5,fc,5000,3,5,00:45:11.90,274.39453125,2021-10-04 10:57:22.131280
Strategic Approach (Optimized-KMPPD) - Global Processing,6,-,optimized_kmppd,6,fc,5000,3,5,00:41:14.93,274.39453125,2021-10-04 11:38:38.771684
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,6,-,optimized_kmppd,3,fc,5000,3,5,00:00:02.84,297.42578125,2021-10-04 11:38:44.919946
