Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,ant,1000,3,5,00:00:00.69,77.14453125,2021-09-26 02:37:25.323458
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,ant,1000,3,5,00:02:21.91,167.95703125,2021-09-26 02:39:47.230217
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,ant,1000,3,5,00:00:00.63,107.25390625,2021-09-26 02:39:51.751254
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,2,ant,1000,3,5,00:02:17.59,168.47265625,2021-09-26 02:42:09.339124
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,3,ant,1000,3,5,00:00:00.61,114.20703125,2021-09-26 02:42:13.743475
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,3,ant,1000,3,5,00:02:16.12,168.23046875,2021-09-26 02:44:29.864866
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,4,ant,1000,3,5,00:00:00.65,115.13671875,2021-09-26 02:44:34.373036
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,4,ant,1000,3,5,00:02:18.11,167.26171875,2021-09-26 02:46:52.487411
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,5,ant,1000,3,5,00:00:00.59,118.2578125,2021-09-26 02:46:56.863306
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,5,ant,1000,3,5,00:02:13.80,168.2578125,2021-09-26 02:49:10.663071
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,6,ant,1000,3,5,00:00:00.63,122.609375,2021-09-26 02:49:15.106137
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,6,ant,1000,3,5,00:02:25.19,168.54296875,2021-09-26 02:51:40.293914
Strategic Approach (Optimized-KMPPD) - End Local Processing
