Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,fc,5000,3,3,00:00:06.93,86.484375,2021-10-07 03:11:28.500714
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,fc,5000,3,3,03:51:00.48,274.69140625,2021-10-07 07:02:28.980811
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,fc,5000,3,3,00:00:08.73,125.96875,2021-10-07 07:02:45.633111
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,fc,5000,3,3,00:00:00.05,80.66796875,2021-10-07 09:08:02.567324
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,2,fc,5000,3,3,00:00:00.08,80.2578125,2021-10-07 09:13:12.674082
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,2,fc,5000,3,3,05:42:23.87,260.5234375,2021-10-07 14:55:36.542527
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,3,fc,5000,3,3,00:00:08.96,132.5390625,2021-10-07 14:55:53.070618
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,3,fc,5000,3,3,05:05:22.96,252.89453125,2021-10-07 20:01:16.035000
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,4,fc,5000,3,3,00:00:07.67,136.39453125,2021-10-07 20:01:30.927177
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,4,fc,5000,3,3,02:59:22.72,306.34765625,2021-10-07 23:00:53.644618
Strategic Approach (Optimized-KMPPD) - End Local Processing
