Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,1,fc,5000,2,5,00:00:09.57,86.19140625,2021-10-10 06:40:31.343491
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,1,fc,5000,2,5,00:58:15.28,118.29296875,2021-10-10 07:38:46.621494
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,2,fc,5000,2,5,00:00:15.96,110.2421875,2021-10-10 07:39:03.725752
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,2,fc,5000,2,5,00:42:57.87,126.86328125,2021-10-10 08:22:01.591831
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,3,fc,5000,2,5,00:00:11.22,110.86328125,2021-10-10 08:22:13.989557
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,3,fc,5000,2,5,01:04:11.91,124.84375,2021-10-10 09:26:25.895143
Strategic Approach (Optimized-KMPPD) - Indexing Data,4,-,optimized_kmppd,4,fc,5000,2,5,00:00:07.82,117.84375,2021-10-10 09:26:34.912693
Strategic Approach (Optimized-KMPPD) - Local Processing,4,-,optimized_kmppd,4,fc,5000,2,5,00:56:49.09,127.84375,2021-10-10 10:23:24.000148
Strategic Approach (Optimized-KMPPD) - End Local Processing
