Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,fc,10000,3,5,00:00:06.33,95.25390625,2021-09-28 01:17:52.101620
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,fc,10000,3,5,06:27:50.60,512.28515625,2021-09-28 07:45:42.706896
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,fc,10000,3,5,00:00:13.50,121.78125,2021-09-28 07:46:15.029509
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,2,fc,10000,3,5,08:54:01.82,445.64453125,2021-09-28 16:40:16.851841
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,3,fc,10000,3,5,00:00:16.08,138.39453125,2021-09-28 16:40:49.043233
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,3,fc,10000,3,5,10:50:20.46,442.1796875,2021-09-29 03:31:09.499612
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,4,fc,10000,3,5,00:00:15.74,147.44921875,2021-09-29 03:31:41.687915
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,4,fc,10000,3,5,12:01:00.10,443.76953125,2021-09-29 15:32:41.786026
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,5,fc,10000,3,5,00:00:15.32,160.91015625,2021-09-29 15:33:13.238768
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,5,fc,10000,3,5,11:56:35.81,417.71875,2021-09-30 03:29:49.050706
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,6,fc,10000,3,5,00:00:14.20,148.28125,2021-09-30 03:30:18.336161
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,6,fc,10000,3,5,08:21:26.47,446.65625,2021-09-30 11:51:44.810541
Strategic Approach (Optimized-KMPPD) - End Local Processing
