Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,1,fc,5000,3,7,00:00:03.38,207.3046875,2021-10-11 02:18:59.947581
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,fc,5000,3,7,00:02:56.78,205.66015625,2021-10-11 02:21:56.732875
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,fc,5000,3,7,00:05:30.96,207.91796875,2021-10-11 02:27:31.980721
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,fc,5000,3,7,00:03:17.50,208.0546875,2021-10-11 02:30:53.846546
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,2,fc,5000,3,7,00:00:03.72,262.37109375,2021-10-11 02:31:06.044653
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,fc,5000,3,7,00:03:47.76,249.98828125,2021-10-11 02:34:53.945496
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,fc,5000,3,7,00:41:33.72,244.48828125,2021-10-11 03:16:29.623264
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,fc,5000,3,7,00:15:34.95,242.73828125,2021-10-11 03:32:06.756137
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,3,fc,5000,3,7,00:00:02.44,284.0,2021-10-11 03:32:11.506519
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,fc,5000,3,7,00:04:18.82,267.5,2021-10-11 03:36:30.382398
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,fc,5000,3,7,00:06:42.18,267.328125,2021-10-11 03:43:13.199888
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,fc,5000,3,7,00:04:48.44,267.328125,2021-10-11 03:48:02.823905
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 4
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,4,fc,5000,3,7,00:00:02.57,338.828125,2021-10-11 03:48:06.736312
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,fc,5000,3,7,00:25:19.29,303.578125,2021-10-11 04:13:26.055844
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,fc,5000,3,7,00:35:16.48,302.828125,2021-10-11 04:48:44.256228
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,fc,5000,3,7,00:27:40.21,302.82421875,2021-10-11 05:16:26.187218
Strategic Approach (Optimized-KMPPD) - End Global Processing
Strategic Approach (Optimized-KMPPD) - Start Query Processing
Strategic Approach (Optimized-KMPPD) - End Query Processing,4,30,optimized_kmppd,-,fc,5000,3,7,00:00:03.28,139.32421875,2021-10-11 06:26:39.031905
