Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,1,ant,5000,2,5,00:00:01.16,199.65625,2021-10-12 01:49:56.899747
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ant,5000,2,5,00:00:27.46,197.40625,2021-10-12 01:50:24.357259
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ant,5000,2,5,00:00:20.52,197.15625,2021-10-12 01:50:45.185123
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ant,5000,2,5,00:00:18.73,197.15625,2021-10-12 01:51:04.213549
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,2,ant,5000,2,5,00:00:01.17,178.76171875,2021-10-12 01:51:05.980572
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ant,5000,2,5,00:00:27.73,177.640625,2021-10-12 01:51:33.719435
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ant,5000,2,5,00:00:22.60,177.17578125,2021-10-12 01:51:56.598486
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ant,5000,2,5,00:00:19.69,177.17578125,2021-10-12 01:52:16.565322
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,3,ant,5000,2,5,00:00:01.09,219.05859375,2021-10-12 01:52:18.205571
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ant,5000,2,5,00:00:25.87,213.05859375,2021-10-12 01:52:44.082196
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ant,5000,2,5,00:00:19.84,212.41796875,2021-10-12 01:53:04.221202
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ant,5000,2,5,00:00:17.04,212.16796875,2021-10-12 01:53:21.553090
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 4
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,4,ant,5000,2,5,00:00:01.25,179.19140625,2021-10-12 01:53:23.383959
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ant,5000,2,5,00:00:27.29,178.53515625,2021-10-12 01:53:50.677498
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ant,5000,2,5,00:00:21.13,178.0703125,2021-10-12 01:54:12.091110
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ant,5000,2,5,00:00:19.15,177.5703125,2021-10-12 01:54:31.531390
Strategic Approach (Optimized-KMPPD) - End Global Processing
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - End Global Processing
Strategic Approach (Optimized-KMPPD) - Start Query Processing
Strategic Approach (Optimized-KMPPD) - End Query Processing,4,30,optimized_kmppd,-,ant,5000,2,5,00:00:00.33,85.421875,2021-10-12 02:08:26.383042
