Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Local Processing
Strategic Approach (KMPPD) - Indexing Data,4,-,kmppd,1,fc,5000,3,7,00:00:00.09,80.1171875,2021-10-08 04:03:56.258030
Strategic Approach (KMPPD) - Local Processing,4,-,kmppd,1,fc,5000,3,7,01:26:44.61,236.1640625,2021-10-08 05:30:40.868442
Strategic Approach (KMPPD) - Indexing Data,4,-,kmppd,2,fc,5000,3,7,00:00:05.50,111.16015625,2021-10-08 05:30:53.541610
Strategic Approach (KMPPD) - Local Processing,4,-,kmppd,2,fc,5000,3,7,01:31:45.09,218.01171875,2021-10-08 07:02:38.635522
Strategic Approach (KMPPD) - Indexing Data,4,-,kmppd,3,fc,5000,3,7,00:00:06.14,121.76171875,2021-10-08 07:02:51.226146
Strategic Approach (KMPPD) - Local Processing,4,-,kmppd,3,fc,5000,3,7,01:43:22.81,226.875,2021-10-08 08:46:14.033380
Strategic Approach (KMPPD) - Indexing Data,4,-,kmppd,4,fc,5000,3,7,00:00:05.11,135.125,2021-10-08 08:46:25.836517
Strategic Approach (KMPPD) - Local Processing,4,-,kmppd,4,fc,5000,3,7,01:11:48.69,251.625,2021-10-08 09:58:14.526159
Strategic Approach (KMPPD) - End Local Processing
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,1,fc,5000,3,7,00:00:02.25,128.00390625,2021-10-08 21:04:08.736307
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,5000,3,7,00:51:32.77,130.4453125,2021-10-08 21:55:41.511507
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,5000,3,7,00:53:26.14,132.23046875,2021-10-08 22:49:09.872046
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,5000,3,7,01:00:32.38,152.40234375,2021-10-08 23:49:44.538534
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,2,fc,5000,3,7,00:00:02.78,197.65625,2021-10-08 23:49:55.256070
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,5000,3,7,01:02:45.62,191.15625,2021-10-09 00:52:40.945188
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,5000,3,7,00:46:47.85,190.59765625,2021-10-09 01:39:30.464600
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,5000,3,7,00:57:46.06,190.34765625,2021-10-09 02:37:18.113889
Strategic Approach (KMPPD) - Global Processing of Site 3
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,3,fc,5000,3,7,00:00:02.47,200.05078125,2021-10-09 02:37:25.642873
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,5000,3,7,00:45:40.67,194.05078125,2021-10-09 03:23:06.354388
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,5000,3,7,00:51:12.17,193.84765625,2021-10-09 04:14:19.825762
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,5000,3,7,00:59:20.54,193.84765625,2021-10-09 05:13:42.664213
Strategic Approach (KMPPD) - Global Processing of Site 4
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,4,fc,5000,3,7,00:00:03.33,220.1171875,2021-10-09 05:13:52.110118
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,5000,3,7,01:21:03.88,214.6171875,2021-10-09 06:34:56.044158
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,5000,3,7,01:29:23.78,214.34765625,2021-10-09 08:04:21.483585
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,5000,3,7,01:28:27.10,214.09765625,2021-10-09 09:32:51.301331
Strategic Approach (KMPPD) - End Global Processing
