Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Local Processing
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,1,ind,2000,3,5,00:00:00.93,78.8515625,2021-09-25 06:25:04.864960
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,1,ind,2000,3,5,00:12:07.18,259.95703125,2021-09-25 06:37:12.043176
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,2,ind,2000,3,5,00:00:01.25,114.9296875,2021-09-25 06:37:22.147437
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,2,ind,2000,3,5,00:12:17.72,260.49609375,2021-09-25 06:49:39.863857
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,3,ind,2000,3,5,00:00:01.18,115.5234375,2021-09-25 06:49:50.181828
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,3,ind,2000,3,5,00:11:23.21,260.7734375,2021-09-25 07:01:13.391051
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,4,ind,2000,3,5,00:00:01.15,113.453125,2021-09-25 07:01:22.742877
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,4,ind,2000,3,5,00:10:28.15,259.25,2021-09-25 07:11:50.897303
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,5,ind,2000,3,5,00:00:01.61,117.3046875,2021-09-25 07:12:02.259988
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,5,ind,2000,3,5,00:12:02.18,260.7109375,2021-09-25 07:24:04.444987
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,6,ind,2000,3,5,00:00:01.11,132.46484375,2021-09-25 07:24:13.801703
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,6,ind,2000,3,5,00:12:23.69,260.74609375,2021-09-25 07:36:37.492892
Strategic Approach (KMPPD) - End Local Processing
