Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,5,-,optimized_kmppd,1,ant,5000,3,5,00:00:08.08,511.18359375,2021-10-02 00:50:11.637306
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,2,ant,5000,3,5,00:20:08.89,501.00390625,2021-10-02 01:10:20.526174
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,3,ant,5000,3,5,00:20:30.44,499.96484375,2021-10-02 01:30:56.083758
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,4,ant,5000,3,5,00:16:50.65,499.6640625,2021-10-02 01:47:52.506385
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,5,ant,5000,3,5,00:15:30.17,499.6640625,2021-10-02 02:03:28.312608
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,5,-,optimized_kmppd,2,ant,5000,3,5,00:00:08.45,785.86328125,2021-10-02 02:03:44.238145
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,1,ant,5000,3,5,00:17:48.99,655.546875,2021-10-02 02:21:33.419387
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,3,ant,5000,3,5,00:18:58.65,645.89453125,2021-10-02 02:40:37.799283
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,4,ant,5000,3,5,00:17:08.63,645.51953125,2021-10-02 02:57:52.247343
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,5,ant,5000,3,5,00:14:21.23,645.515625,2021-10-02 03:12:19.133676
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,5,-,optimized_kmppd,3,ant,5000,3,5,00:00:08.69,834.171875,2021-10-02 03:12:34.341119
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,1,ant,5000,3,5,00:17:45.81,686.86328125,2021-10-02 03:30:20.338597
Strategic Approach (Optimized-KMPPD) - Global Processing,5,-,optimized_kmppd,2,ant,5000,3,5,00:17:26.42,676.4921875,2021-10-02 03:47:52.619569
