Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,1,fc,10000,3,5,00:00:04.40,169.4453125,2021-10-03 20:41:12.486865
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,10000,3,5,01:46:09.66,176.65625,2021-10-03 22:27:22.152165
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,10000,3,5,01:43:37.93,181.27734375,2021-10-04 00:11:03.502995
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,10000,3,5,01:30:20.49,181.015625,2021-10-04 01:41:27.312976
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,2,fc,10000,3,5,00:00:05.17,210.671875,2021-10-04 01:41:39.019181
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,10000,3,5,03:42:11.80,212.015625,2021-10-04 05:23:50.870430
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,10000,3,5,03:01:50.88,212.015625,2021-10-04 08:25:43.670118
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,10000,3,5,03:16:15.59,211.265625,2021-10-04 11:42:02.076913
Strategic Approach (KMPPD) - Global Processing of Site 3
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,3,fc,10000,3,5,00:00:04.82,246.36328125,2021-10-04 11:42:11.618922
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,10000,3,5,02:38:38.25,241.4296875,2021-10-04 14:20:49.917381
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,10000,3,5,02:46:08.69,240.58203125,2021-10-04 17:07:00.355600
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,4,fc,10000,3,5,02:21:41.55,240.6875,2021-10-04 19:28:44.800927
Strategic Approach (KMPPD) - Global Processing of Site 4
Strategic Approach (KMPPD) - Get Local Top,4,-,kmppd,4,fc,10000,3,5,00:00:05.02,267.515625,2021-10-04 19:28:54.809225
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,1,fc,10000,3,5,01:52:53.26,259.765625,2021-10-04 21:21:48.123402
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,2,fc,10000,3,5,02:07:42.39,259.265625,2021-10-04 23:29:31.861866
Strategic Approach (KMPPD) - Global Processing,4,-,kmppd,3,fc,10000,3,5,02:05:35.67,258.765625,2021-10-05 01:35:10.436778
Strategic Approach (KMPPD) - End Global Processing
