Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,ind,2000,3,5,00:00:01.14,79.07421875,2021-09-25 07:48:17.388218
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,ind,2000,3,5,00:11:52.80,379.07421875,2021-09-25 08:00:10.191304
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,ind,2000,3,5,00:00:01.01,122.0859375,2021-09-25 08:00:24.202149
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,2,ind,2000,3,5,00:12:00.34,380.08984375,2021-09-25 08:12:24.547363
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,3,ind,2000,3,5,00:00:01.10,130.0859375,2021-09-25 08:12:39.048326
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,3,ind,2000,3,5,00:11:58.63,381.85546875,2021-09-25 08:24:37.676396
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,4,ind,2000,3,5,00:00:01.12,139.828125,2021-09-25 08:24:52.216969
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,4,ind,2000,3,5,00:12:11.15,378.875,2021-09-25 08:37:03.368525
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,5,ind,2000,3,5,00:00:00.96,144.59765625,2021-09-25 08:37:17.263243
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,5,ind,2000,3,5,00:11:59.68,381.09765625,2021-09-25 08:49:16.947639
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,6,ind,2000,3,5,00:00:00.97,148.38671875,2021-09-25 08:49:31.180697
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,6,ind,2000,3,5,00:11:58.60,380.859375,2021-09-25 09:01:29.784230
Strategic Approach (Optimized-KMPPD) - End Local Processing
