Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Local Processing
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,1,ant,10000,3,5,00:00:06.54,96.13671875,2021-09-26 21:26:38.728057
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,1,ant,10000,3,5,09:00:10.46,1332.87890625,2021-09-27 06:26:49.193417
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,2,ant,10000,3,5,00:00:10.89,121.68359375,2021-09-27 06:27:53.190852
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,2,ant,10000,3,5,09:01:52.24,1324.6796875,2021-09-27 15:29:45.436346
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,3,ant,10000,3,5,00:00:11.00,126.9453125,2021-09-27 15:30:50.425256
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,3,ant,10000,3,5,07:20:10.31,1324.77734375,2021-09-27 22:51:00.735593
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,4,ant,10000,3,5,00:00:06.22,137.27734375,2021-09-27 22:51:36.941350
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,4,ant,10000,3,5,08:36:25.26,1335.69140625,2021-09-28 07:28:02.204751
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,5,ant,10000,3,5,00:00:12.43,137.19140625,2021-09-28 07:29:10.807746
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,5,ant,10000,3,5,10:06:03.76,1329.23828125,2021-09-28 17:35:14.571263
Strategic Approach (Optimized-KMPPD) - Indexing Data,6,-,optimized_kmppd,6,ant,10000,3,5,00:00:11.52,140.3828125,2021-09-28 17:36:21.767297
Strategic Approach (Optimized-KMPPD) - Local Processing,6,-,optimized_kmppd,6,ant,10000,3,5,08:56:04.00,1320.3125,2021-09-29 02:32:25.765867
Strategic Approach (Optimized-KMPPD) - End Local Processing
