Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,2,-,kmppd,1,ant,5000,3,5,00:00:05.17,287.35546875,2021-10-03 08:36:58.543767
Strategic Approach (KMPPD) - Global Processing,2,-,kmppd,2,ant,5000,3,5,00:18:56.54,282.54296875,2021-10-03 08:55:55.086800
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,2,-,kmppd,2,ant,5000,3,5,00:00:05.55,421.88671875,2021-10-03 08:56:04.388177
Strategic Approach (KMPPD) - Global Processing,2,-,kmppd,1,ant,5000,3,5,00:18:12.53,380.88671875,2021-10-03 09:14:16.963238
Strategic Approach (KMPPD) - End Global Processing
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,3,-,kmppd,1,ant,5000,3,5,00:00:05.16,287.35546875,2021-10-03 09:14:26.705372
Strategic Approach (KMPPD) - Global Processing,3,-,kmppd,2,ant,5000,3,5,00:18:40.79,282.54296875,2021-10-03 09:33:07.496729
Strategic Approach (KMPPD) - Global Processing,3,-,kmppd,3,ant,5000,3,5,00:19:10.49,282.78125,2021-10-03 09:52:19.809829
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,3,-,kmppd,2,ant,5000,3,5,00:00:05.91,424.48046875,2021-10-03 09:52:30.160727
Strategic Approach (KMPPD) - Global Processing,3,-,kmppd,1,ant,5000,3,5,00:17:49.56,385.73046875,2021-10-03 10:10:19.778592
Strategic Approach (KMPPD) - Global Processing,3,-,kmppd,3,ant,5000,3,5,00:18:22.04,385.48046875,2021-10-03 10:28:43.611844
Strategic Approach (KMPPD) - Global Processing of Site 3
