Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (Optimized-KMPPD) - Start Global Processing
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 1
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,1,ind,10000,3,5,00:00:26.50,1155.61328125,2021-10-05 04:59:25.200227
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,10000,3,5,01:05:32.60,1108.8359375,2021-10-05 06:04:57.800987
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,10000,3,5,00:44:25.88,1084.89453125,2021-10-05 06:49:37.445856
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,10000,3,5,00:39:30.05,1081.33203125,2021-10-05 07:29:17.779386
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 2
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,2,ind,10000,3,5,00:00:35.48,1920.15625,2021-10-05 07:30:20.681919
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,10000,3,5,00:55:20.43,1388.67578125,2021-10-05 08:25:41.758927
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,10000,3,5,00:47:20.49,1359.1875,2021-10-05 09:13:11.854625
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,10000,3,5,00:39:18.86,1357.0703125,2021-10-05 09:52:44.252983
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 3
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,3,ind,10000,3,5,00:00:34.92,2189.46875,2021-10-05 09:53:40.696490
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,10000,3,5,00:55:01.61,1516.6796875,2021-10-05 10:48:42.953740
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,10000,3,5,00:48:21.84,1474.80859375,2021-10-05 11:37:17.614569
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,4,ind,10000,3,5,00:38:45.21,1471.7109375,2021-10-05 12:16:16.660757
Strategic Approach (Optimized-KMPPD) - Global Processing of Site 4
Strategic Approach (Optimized-KMPPD) - Get Local Top,4,-,optimized_kmppd,4,ind,10000,3,5,00:00:29.83,2273.82421875,2021-10-05 12:17:02.628940
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,1,ind,10000,3,5,00:41:41.14,1555.69140625,2021-10-05 12:58:44.303593
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,2,ind,10000,3,5,00:35:21.81,1516.99609375,2021-10-05 13:34:14.402483
Strategic Approach (Optimized-KMPPD) - Global Processing,4,-,optimized_kmppd,3,ind,10000,3,5,00:31:50.27,1514.7734375,2021-10-05 14:06:12.679482
Strategic Approach (Optimized-KMPPD) - End Global Processing
Strategic Approach (Optimized-KMPPD) - Start Query Processing
Strategic Approach (Optimized-KMPPD) - End Query Processing,4,30,optimized_kmppd,-,ind,10000,3,5,00:00:16.40,120.2578125,2021-10-05 14:48:55.689275
