Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Global Processing
Strategic Approach (KMPPD) - Global Processing of Site 1
Strategic Approach (KMPPD) - Get Local Top,6,-,kmppd,1,fc,5000,3,5,00:00:02.10,126.3671875,2021-10-03 06:28:55.223891
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,2,fc,5000,3,5,00:56:46.74,134.296875,2021-10-03 07:25:41.969411
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,3,fc,5000,3,5,00:57:59.88,135.82421875,2021-10-03 08:23:44.280932
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,4,fc,5000,3,5,01:05:48.12,154.23046875,2021-10-03 09:29:34.700387
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,5,fc,5000,3,5,00:51:27.57,156.546875,2021-10-03 10:21:06.066606
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,6,fc,5000,3,5,00:56:59.40,156.546875,2021-10-03 11:18:08.171963
Strategic Approach (KMPPD) - Global Processing of Site 2
Strategic Approach (KMPPD) - Get Local Top,6,-,kmppd,2,fc,5000,3,5,00:00:02.63,198.26953125,2021-10-03 11:18:17.025643
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,1,fc,5000,3,5,00:49:45.64,194.26953125,2021-10-03 12:08:02.726578
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,3,fc,5000,3,5,00:51:50.78,194.01171875,2021-10-03 12:59:54.758514
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,4,fc,5000,3,5,00:45:01.23,194.01171875,2021-10-03 13:44:57.365642
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,5,fc,5000,3,5,00:41:31.37,194.01171875,2021-10-03 14:26:29.969603
Strategic Approach (KMPPD) - Global Processing,6,-,kmppd,6,fc,5000,3,5,00:38:07.43,194.01171875,2021-10-03 15:04:38.330042
Strategic Approach (KMPPD) - Global Processing of Site 3
