Event,Site Num,K,Method,On Site,Data Type,Data Num,Dim Size,Grid Size,Runtime (S),Mem Usage (MB),Timestamp
Strategic Approach (KMPPD) - Start Local Processing
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,1,ind,5000,3,6,00:00:01.75,83.875,2021-10-05 15:40:56.465963
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,1,ind,5000,3,6,01:26:30.03,589.85546875,2021-10-05 17:07:26.500765
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,2,ind,5000,3,6,00:00:03.20,149.59765625,2021-10-05 17:07:53.936010
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,2,ind,5000,3,6,01:26:14.53,591.26953125,2021-10-05 18:34:08.462578
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,3,ind,5000,3,6,00:00:03.09,150.9140625,2021-10-05 18:34:34.190442
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,3,ind,5000,3,6,01:25:18.70,590.421875,2021-10-05 19:59:52.886412
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,4,ind,5000,3,6,00:00:03.03,135.171875,2021-10-05 20:00:18.182439
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,4,ind,5000,3,6,01:25:01.16,587.8125,2021-10-05 21:25:19.341955
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,5,ind,5000,3,6,00:00:03.01,158.58203125,2021-10-05 21:25:44.757415
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,5,ind,5000,3,6,01:25:55.56,590.1328125,2021-10-05 22:51:40.319433
Strategic Approach (KMPPD) - Indexing Data,6,-,kmppd,6,ind,5000,3,6,00:00:03.09,151.8515625,2021-10-05 22:52:06.358033
Strategic Approach (KMPPD) - Local Processing,6,-,kmppd,6,ind,5000,3,6,01:24:36.71,590.10546875,2021-10-06 00:16:43.067338
Strategic Approach (KMPPD) - End Local Processing
